,Status,Life expectancy,Adult Mortality,BMI,HIV/AIDS,Diphtheria,Polio,GDP,Income composition of resources,Schooling
223,Developing,73.3,127.0,43.0,0.9,93.0,86.0,11568.1111,0.741,14.0
344,Developing,56.9,436.0,33.7,13.4,96.0,96.0,5714.47937,0.63,12.1
753,Developing,63.5,241.0,35.0,2.1,84.0,84.0,1862.167274,0.47,6.3
1547,Developed,79.4,85.0,57.5,0.1,99.0,99.0,89739.7117,0.88,13.5
2760,Developing,74.5,14.0,55.0,0.1,94.0,94.0,3161.52935,0.798,12.0
2719,Developing,58.4,362.0,16.3,8.0,8.0,79.0,594.9972557,0.473,10.9
1216,Developing,66.5,188.0,16.0,0.1,76.0,77.0,747.9817455,0.604,10.6
1344,Developing,71.9,131.0,54.8,0.1,99.0,97.0,1728.2659,0.706,12.7
1361,Developing,63.9,292.0,43.9,0.1,97.0,96.0,1229.958,0.676,12.1
821,Developing,73.0,181.0,54.1,0.3,92.0,93.0,3827.786267,0.67,13.2
1523,Developed,73.4,169.0,61.9,0.1,93.0,93.0,16554.97139,0.841,16.5
1173,Developed,82.5,5.0,59.7,0.1,89.0,89.0,44333.8518,0.901,18.7
2495,Developing,52.6,46.0,29.3,33.7,88.0,89.0,332.517125,0.519,10.8
206,Developing,65.8,168.0,1.8,0.1,85.0,85.0,42.5981152,0.468,7.5
1622,Developing,56.8,271.0,21.3,1.5,66.0,72.0,835.88998,0.404,7.5
2438,Developed,79.5,83.0,58.8,0.1,98.0,98.0,1719.53541,0.828,15.7
981,Developing,74.2,13.0,53.6,0.1,92.0,93.0,4142.869175,0.749,13.4
2323,Developed,82.0,69.0,3.2,0.1,96.0,96.0,29869.85398,0.821,12.6
2006,Developing,79.0,172.0,39.1,0.1,86.0,86.0,1545.626423,0.625,11.6
1659,Developing,61.2,219.0,25.5,1.3,75.0,75.0,113.3128,0.475,7.4
2065,Developed,77.7,11.0,54.1,0.1,93.0,93.0,18784.9485,0.79,15.4
2357,Developed,76.5,119.0,52.9,0.1,95.0,95.0,1488.47154,0.843,16.1
2368,Developing,68.0,193.0,44.7,0.1,89.0,94.0,125.79167,0.489,9.2
1933,Developing,75.2,19.0,51.1,0.1,99.0,97.0,2275.3536,0.765,11.9
1739,Developing,74.6,121.0,57.8,0.1,95.0,95.0,7325.73474,0.774,14.2
1285,Developed,82.0,6.0,62.1,0.1,97.0,96.0,34814.12436,0.877,16.6
